Year,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping
1990,689999.9976,0,7860000.134,779999.9714,1309999.943,2799999.952,3450000.048,1049999.952,39999.99911,660000.0262,680000.0072
1991,870000.0048,0,8260000.229,610000.0143,1149999.976,2589999.914,3809999.943,1029999.971,39999.99911,720000.0286,469999.9988
1992,1039999.962,0,8659999.847,1350000.024,1299999.952,2740000.01,4429999.828,1409999.967,39999.99911,860000.0143,610000.0143
1993,1059999.943,0,9069999.695,1509999.99,1299999.952,2819999.933,4570000.172,1289999.962,50000.00075,889999.9857,660000.0262
1994,910000.0262,0,9470000.267,1720000.029,1659999.967,2819999.933,4690000.057,1679999.948,79999.99821,629999.9952,720000.0286
1995,939999.9976,0,8430000.305,1529999.971,1740000.01,3079999.924,5179999.828,1360000.014,79999.99821,939999.9976,790000.0215
1996,879999.9952,0,7389999.866,1590000.033,1750000,3140000.105,5409999.847,2029999.971,79999.99821,250000,930000.0072
1997,860000.0143,0,6340000.153,1549999.952,1860000.014,3289999.962,5570000.172,2190000.057,79999.99821,300000.0119,870000.0048
1998,790000.0215,0,5300000.191,1370000.005,2000000,3329999.924,6030000.21,2059999.943,79999.99821,270000.0107,699999.9881
1999,819999.9928,0,4250000,1450000.048,1990000.01,3410000.086,5860000.134,2170000.076,79999.99821,270000.0107,720000.0286
2000,709999.9785,0,3210000.038,1490000.01,2180000.067,3690000.057,6760000.229,2430000.067,79999.99821,330000.0131,899999.9762
2001,709999.9785,0,3299999.952,1710000.038,2069999.933,3799999.952,6710000.038,2269999.981,79999.99821,330000.0131,689999.9976
2002,750000,0,3390000.105,1860000.014,2089999.914,3869999.886,7119999.886,2289999.962,79999.99821,330000.0131,680000.0072
2003,759999.9905,0,3480000.019,1850000.024,2150000.095,3930000.067,7199999.809,2519999.981,90000.00358,370000.0048,879999.9952
2004,839999.9738,0,3569999.933,2000000,2609999.895,4510000.229,7110000.134,2720000.029,209999.9934,389999.9857,769999.9809
2005,920000.0167,0,3660000.086,2049999.952,2960000.038,4969999.79,7440000.057,2849999.905,230000.0042,409999.9964,1230000.019
2006,839999.9738,0,3750000,2460000.038,3009999.99,4889999.866,7949999.809,2670000.076,300000.0119,419999.9869,1070000.052
2007,1100000.024,0,3880000.114,2720000.029,2970000.029,5230000.019,8579999.924,2460000.038,349999.994,490000.0095,1039999.962
2008,1179999.948,0,4019999.981,2859999.895,2619999.886,4760000.229,8770000.458,2039999.962,379999.9952,419999.9869,1029999.971
2009,939999.9976,0,4150000.095,2809999.943,2670000.076,5300000.191,8909999.847,2150000.095,439999.9976,430000.0072,1120000.005
2010,1000000,0,4289999.962,2940000.057,2309999.943,5360000.134,9060000.42,1830000.043,319999.9928,400000.006,1149999.976
2011,1129999.995,0,4449999.809,2779999.971,2079999.924,5480000.019,9939999.58,1990000.01,140000.0006,460000.0083,1039999.962
2012,910000.0262,0,4610000.134,3450000.048,2190000.057,7050000.191,11319999.69,1899999.976,109999.9994,490000.0095,1159999.967
2013,1100000.024,0,4760000.229,3759999.99,1909999.967,7300000.191,11590000.15,1529999.971,140000.0006,239999.9946,1139999.986
2014,1149999.976,0,4920000.076,4090000.153,2369999.886,7230000.019,12600000.38,1590000.033,59999.99866,479999.9893,1029999.971
2015,1240000.01,0,5079999.924,4380000.114,1850000.024,8029999.733,11770000.46,1879999.995,270000.0107,460000.0083,930000.0072
2016,1320000.052,0,5250000,4840000.153,2170000.076,8510000.229,10250000,1940000.057,439999.9976,540000.0215,1299999.952
2017,1230000.019,0,5409999.847,5280000.21,1649999.976,9359999.657,10520000.46,2450000.048,460000.0083,699999.9881,1610000.014
2018,1220000.029,0,5570000.172,5650000.095,1629999.995,9239999.771,9539999.962,2049999.952,479999.9893,810000.0024,1259999.99
2019,1210000.038,0,5739999.771,6010000.229,1659999.967,9430000.305,9130000.114,2079999.924,479999.9893,829999.9833,1360000.014
