Year,CO2 Emissions
1950,172208.0
1951,333424.0
1952,527616.0
1953,740128.0
1954,992677.0
1955,1373376.0
1956,1823721.0
1957,2317915.0
1958,2841421.0
1959,3496831.0
1960,4239969.0
1961,5217366.0
1962,6264319.0
1963,7483272.0
1964,8724120.0
1965,10144534.0
1966,11725866.0
1967,13138863.0
1968,14642835.0
1969,16399623.0
1970,17955307.0
1971,19609741.0
1972,21523339.0
1973,23722907.0
1974,25948212.0
1975,28437414.0
1976,31382010.0
1977,34535943.0
1978,38163290.0
1979,41940174.0
1980,46635989.0
1981,52461172.0
1982,58716859.0
1983,66016805.0
1984,74263677.0
1985,82685190.0
1986,91850242.0
1987,101356261.0
1988,110533273.0
1989,119613027.0
1990,130089450.0
1991,139993361.0
1992,151977560.0
1993,163751846.0
1994,177001413.0
1995,190209476.0
1996,204034894.0
1997,218108951.0
1998,232362018.0
1999,246628683.0
2000,261828887.0
2001,277438404.0
2002,293858841.0
2003,310841017.0
2004,329511712.0
2005,349948505.0
2006,370474895.0
2007,391911393.0
2008,412629390.0
2009,433966082.0
2010,454581407.0
2011,475825167.0
2012,499638968.0
2013,523452120.0
2014,549347142.0
2015,574903362.0
2016,599248984.0
2017,624810262.0
2018,650069892.0
2019,675814875.0
2020,701302305.0
